vs	V(vin)	V(vout)
1.000000000000000e-003	1.000000e-003	1.665954e-001
2.000000000000000e-003	2.000000e-003	2.111022e-001
3.000000000000000e-003	3.000000e-003	2.608693e-001
4.000000000000000e-003	4.000000e-003	3.116625e-001
5.000000000000000e-003	5.000000e-003	3.626077e-001
6.000000000000000e-003	6.000000e-003	4.135742e-001
7.000000000000000e-003	7.000000e-003	4.645438e-001
8.000000000000000e-003	8.000000e-003	5.155137e-001
9.000000000000001e-003	9.000000e-003	5.664837e-001
1.000000000000000e-002	1.000000e-002	6.174537e-001
1.100000000000000e-002	1.100000e-002	6.684237e-001
1.200000000000000e-002	1.200000e-002	7.193937e-001
1.300000000000001e-002	1.300000e-002	7.703637e-001
1.400000000000001e-002	1.400000e-002	8.213338e-001
1.500000000000001e-002	1.500000e-002	8.723037e-001
1.600000000000001e-002	1.600000e-002	9.232737e-001
1.700000000000001e-002	1.700000e-002	9.742438e-001
1.800000000000001e-002	1.800000e-002	1.025214e+000
1.900000000000001e-002	1.900000e-002	1.076184e+000
2.000000000000001e-002	2.000000e-002	1.127154e+000
2.100000000000001e-002	2.100000e-002	1.178124e+000
2.200000000000001e-002	2.200000e-002	1.229094e+000
2.300000000000001e-002	2.300000e-002	1.280064e+000
2.400000000000001e-002	2.400000e-002	1.331034e+000
2.500000000000002e-002	2.500000e-002	1.382004e+000
2.600000000000002e-002	2.600000e-002	1.432974e+000
2.700000000000002e-002	2.700000e-002	1.483944e+000
2.800000000000002e-002	2.800000e-002	1.534914e+000
2.900000000000002e-002	2.900000e-002	1.585884e+000
3.000000000000002e-002	3.000000e-002	1.636854e+000
3.100000000000002e-002	3.100000e-002	1.687824e+000
3.200000000000002e-002	3.200000e-002	1.738794e+000
3.300000000000002e-002	3.300000e-002	1.789764e+000
3.400000000000002e-002	3.400000e-002	1.840734e+000
3.500000000000002e-002	3.500000e-002	1.891704e+000
3.600000000000003e-002	3.600000e-002	1.942674e+000
3.700000000000003e-002	3.700000e-002	1.993644e+000
3.800000000000003e-002	3.800000e-002	2.044614e+000
3.900000000000003e-002	3.900000e-002	2.095584e+000
4.000000000000003e-002	4.000000e-002	2.146554e+000
4.100000000000003e-002	4.100000e-002	2.197524e+000
4.200000000000003e-002	4.200000e-002	2.248494e+000
4.300000000000003e-002	4.300000e-002	2.299464e+000
4.400000000000003e-002	4.400000e-002	2.350434e+000
4.500000000000003e-002	4.500000e-002	2.401404e+000
4.600000000000003e-002	4.600000e-002	2.452374e+000
4.700000000000004e-002	4.700000e-002	2.503344e+000
4.800000000000004e-002	4.800000e-002	2.554314e+000
4.900000000000004e-002	4.900000e-002	2.605284e+000
5.000000000000004e-002	5.000000e-002	2.656254e+000
5.100000000000004e-002	5.100000e-002	2.707224e+000
5.200000000000004e-002	5.200000e-002	2.758194e+000
5.300000000000004e-002	5.300000e-002	2.809164e+000
5.400000000000004e-002	5.400000e-002	2.860134e+000
5.500000000000004e-002	5.500000e-002	2.911104e+000
5.600000000000004e-002	5.600000e-002	2.962074e+000
5.700000000000004e-002	5.700000e-002	3.013044e+000
5.800000000000005e-002	5.800000e-002	3.064014e+000
5.900000000000005e-002	5.900000e-002	3.114982e+000
6.000000000000000e-002	6.000000e-002	3.165942e+000
