r	V(vin)	V(vout)
1.000000000000000e+002	2.631598e-001	9.897801e-001
1.003900000000000e+002	2.641319e-001	1.005993e+000
1.007800000000000e+002	2.651036e-001	1.022199e+000
1.011700000000000e+002	2.660749e-001	1.038399e+000
1.015600000000000e+002	2.670459e-001	1.054592e+000
1.019500000000000e+002	2.680164e-001	1.070778e+000
1.023400000000000e+002	2.689865e-001	1.086957e+000
1.027300000000000e+002	2.699562e-001	1.103130e+000
1.031200000000000e+002	2.709255e-001	1.119297e+000
1.035100000000000e+002	2.718944e-001	1.135456e+000
1.039000000000000e+002	2.728629e-001	1.151610e+000
1.042900000000000e+002	2.738311e-001	1.167756e+000
1.046800000000000e+002	2.747988e-001	1.183896e+000
1.050700000000000e+002	2.757662e-001	1.200029e+000
1.054600000000000e+002	2.767331e-001	1.216156e+000
1.058500000000000e+002	2.776996e-001	1.232276e+000
1.062400000000000e+002	2.786658e-001	1.248389e+000
1.066300000000000e+002	2.796315e-001	1.264496e+000
1.070200000000000e+002	2.805969e-001	1.280597e+000
1.074100000000000e+002	2.815619e-001	1.296690e+000
1.078000000000000e+002	2.825264e-001	1.312777e+000
1.081900000000000e+002	2.834906e-001	1.328858e+000
1.085800000000000e+002	2.844544e-001	1.344932e+000
1.089700000000000e+002	2.854178e-001	1.360999e+000
1.093600000000000e+002	2.863808e-001	1.377060e+000
1.097500000000000e+002	2.873434e-001	1.393114e+000
1.101400000000000e+002	2.883056e-001	1.409162e+000
1.105300000000000e+002	2.892674e-001	1.425203e+000
1.109200000000000e+002	2.902288e-001	1.441238e+000
1.113100000000000e+002	2.911898e-001	1.457266e+000
1.117000000000000e+002	2.921505e-001	1.473288e+000
1.120900000000000e+002	2.931107e-001	1.489303e+000
1.124800000000000e+002	2.940706e-001	1.505311e+000
1.128700000000000e+002	2.950300e-001	1.521313e+000
1.132600000000000e+002	2.959891e-001	1.537309e+000
1.136500000000000e+002	2.969478e-001	1.553297e+000
1.140400000000000e+002	2.979061e-001	1.569280e+000
1.144300000000000e+002	2.988640e-001	1.585256e+000
1.148200000000000e+002	2.998215e-001	1.601225e+000
1.152100000000000e+002	3.007786e-001	1.617188e+000
1.156000000000000e+002	3.017353e-001	1.633144e+000
1.159900000000000e+002	3.026917e-001	1.649094e+000
1.163800000000000e+002	3.036476e-001	1.665038e+000
1.167700000000000e+002	3.046032e-001	1.680974e+000
1.171600000000000e+002	3.055584e-001	1.696905e+000
1.175500000000000e+002	3.065131e-001	1.712829e+000
1.179400000000000e+002	3.074676e-001	1.728746e+000
1.183300000000000e+002	3.084216e-001	1.744657e+000
1.187200000000000e+002	3.093752e-001	1.760562e+000
1.191100000000000e+002	3.103284e-001	1.776460e+000
1.195000000000000e+002	3.112812e-001	1.792351e+000
1.198900000000000e+002	3.122337e-001	1.808236e+000
1.202800000000000e+002	3.131858e-001	1.824115e+000
1.206700000000000e+002	3.141375e-001	1.839987e+000
1.210600000000000e+002	3.150887e-001	1.855853e+000
1.214500000000000e+002	3.160397e-001	1.871713e+000
1.218400000000000e+002	3.169902e-001	1.887565e+000
1.222300000000000e+002	3.179403e-001	1.903412e+000
1.226200000000000e+002	3.188901e-001	1.919252e+000
1.230100000000000e+002	3.198394e-001	1.935086e+000
1.234000000000000e+002	3.207884e-001	1.950913e+000
1.237900000000000e+002	3.217371e-001	1.966734e+000
1.241800000000000e+002	3.226852e-001	1.982548e+000
1.245700000000000e+002	3.236331e-001	1.998356e+000
1.249600000000000e+002	3.245805e-001	2.014158e+000
1.253500000000000e+002	3.255276e-001	2.029953e+000
1.257400000000000e+002	3.264743e-001	2.045742e+000
1.261300000000000e+002	3.274206e-001	2.061524e+000
1.265200000000000e+002	3.283665e-001	2.077300e+000
1.269100000000000e+002	3.293120e-001	2.093069e+000
1.273000000000000e+002	3.302571e-001	2.108833e+000
1.276900000000000e+002	3.312019e-001	2.124589e+000
1.280800000000000e+002	3.321463e-001	2.140340e+000
1.284700000000000e+002	3.330903e-001	2.156084e+000
1.288600000000000e+002	3.340339e-001	2.171822e+000
1.292500000000000e+002	3.349771e-001	2.187553e+000
1.296400000000000e+002	3.359200e-001	2.203278e+000
1.300300000000000e+002	3.368625e-001	2.218997e+000
1.304200000000000e+002	3.378046e-001	2.234709e+000
1.308100000000000e+002	3.387463e-001	2.250415e+000
1.311999999999999e+002	3.396876e-001	2.266114e+000
1.315899999999999e+002	3.406286e-001	2.281808e+000
1.319799999999999e+002	3.415692e-001	2.297495e+000
1.323699999999999e+002	3.425094e-001	2.313175e+000
1.327599999999999e+002	3.434492e-001	2.328850e+000
1.331499999999999e+002	3.443886e-001	2.344517e+000
1.335399999999999e+002	3.453277e-001	2.360179e+000
1.339299999999998e+002	3.462663e-001	2.375834e+000
1.343199999999998e+002	3.472046e-001	2.391483e+000
1.347099999999998e+002	3.481426e-001	2.407126e+000
1.350999999999998e+002	3.490801e-001	2.422762e+000
1.354899999999998e+002	3.500173e-001	2.438392e+000
1.358799999999998e+002	3.509541e-001	2.454016e+000
1.362699999999998e+002	3.518905e-001	2.469634e+000
1.366599999999997e+002	3.528265e-001	2.485245e+000
1.370499999999997e+002	3.537621e-001	2.500850e+000
1.374399999999997e+002	3.546974e-001	2.516448e+000
1.378299999999997e+002	3.556323e-001	2.532041e+000
1.382199999999997e+002	3.565668e-001	2.547627e+000
1.385100000000000e+002	3.572615e-001	2.559212e+000
